[2024-08-31 13:50:16:2351][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2024-08-31 13:50:16:2562][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-08-31 13:50:16:2577][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2024-08-31 13:50:16:2586][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 2.486 seconds (JVM running for 2.868)
[2024-08-31 13:51:47:93515][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-08-31 13:51:47:93516][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2024-08-31 13:51:47:93520][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2024-08-31 13:51:53:390][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 17.0.12 on BaekSeungHyun with PID 23300 (D:\IntelliJ_workspace\WeatherDiary\WeatherDiary\build\classes\java\main started by PC in D:\IntelliJ_workspace\WeatherDiary)
[2024-08-31 13:51:53:391][main] INFO  zerobase.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2024-08-31 13:51:53:779][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-08-31 13:51:53:820][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35 ms. Found 3 JPA repository interfaces.
[2024-08-31 13:51:54:1165][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2024-08-31 13:51:54:1172][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-08-31 13:51:54:1172][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-08-31 13:51:54:1172][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2024-08-31 13:51:54:1235][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-08-31 13:51:54:1235][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 811 ms
[2024-08-31 13:51:54:1337][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-08-31 13:51:54:1551][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-08-31 13:51:54:1589][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-08-31 13:51:54:1626][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
[2024-08-31 13:51:54:1763][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2024-08-31 13:51:54:1843][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[2024-08-31 13:51:55:2217][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2024-08-31 13:51:55:2223][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-08-31 13:51:55:2488][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2024-08-31 13:51:55:2696][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-08-31 13:51:55:2713][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2024-08-31 13:51:55:2722][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 2.623 seconds (JVM running for 3.009)
[2024-08-31 13:52:22:29783][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-08-31 13:52:22:29784][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2024-08-31 13:52:22:29788][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2024-08-31 13:52:26:376][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 17.0.12 on BaekSeungHyun with PID 23024 (D:\IntelliJ_workspace\WeatherDiary\WeatherDiary\build\classes\java\main started by PC in D:\IntelliJ_workspace\WeatherDiary)
[2024-08-31 13:52:26:378][main] INFO  zerobase.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2024-08-31 13:52:26:742][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-08-31 13:52:26:779][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31 ms. Found 3 JPA repository interfaces.
